2010-11-03T11:05:08-0600	PUMP1	ON	277.35	27.546	27.412
2010-11-03T11:05:11-0600	PUMP2	ON	276.05	28.080	28.144
2010-11-03T11:05:14-0600	PUMP3	ON	260.18	27.295	27.619
2010-11-03T12:52:15-0600	PUMP1	ON	277.35	27.546	27.412
2010-11-03T12:52:18-0600	PUMP2	ON	276.05	28.080	28.144
2010-11-03T12:52:21-0600	PUMP3	ON	260.18	27.295	27.619
2010-11-03T12:52:40-0600	PUMP1	OFF	67.63	0.650	0.224
2010-11-03T12:52:43-0600	PUMP2	OFF	61.67	0.057	0.490
2010-11-03T12:52:46-0600	PUMP3	OFF	69.10	0.576	0.658
2010-11-03T12:53:30-0600	PUMP1	ON	274.32	28.082	28.213
2010-11-03T12:53:33-0600	PUMP2	ON	259.08	27.828	26.869
2010-11-03T12:53:36-0600	PUMP3	ON	233.45	27.381	27.409
2010-11-03T12:53:51-0600	PUMP1	OFF	81.59	-0.178	0.156
2010-11-03T12:53:54-0600	PUMP2	OFF	71.21	0.631	0.399
2010-11-03T12:53:57-0600	PUMP3	OFF	75.05	-0.370	0.333
2010-11-03T12:54:29-0600	PUMP1	ON	280.45	27.679	27.715
2010-11-03T12:54:32-0600	PUMP2	ON	271.77	27.659	27.920
2010-11-03T12:54:35-0600	PUMP3	ON	254.66	28.011	28.028
2010-11-03T12:54:54-0600	PUMP1	OFF	74.28	0.241	0.062
2010-11-03T12:54:57-0600	PUMP2	OFF	60.33	-0.229	0.323
2010-11-03T12:55:00-0600	PUMP3	OFF	63.35	0.144	0.386
